,School_type,Local_Ed_Auth,Estab_group,School_ID,Is_Closed,School_type_2,Rel_Denom,Selective_School,School_gender,School_feeder_sixth_form,School_primary,School_sixth_form,Num_pupils_GCSEs,Pct_Boys,DISAD_pct_GCSEpup,Prog8_overall_measure,Num_GCSEpup_all_Ebacc,Pct_GCSEpup_enter_Ebacc_Maths,Pct_GCSEpup_enter_Ebacc_Science,Pct_GCSEpup_enter_Ebacc_Humanities,Pct_GCSEpup_enter_Ebacc_Lang,Pct_GCSEpup_any_qual,Pct_GCSEpup_more_onelang,Pct_GCSEpup_3_sciences,Avg_num_GCSEs_equiv_pup,Prog8_band,Teachers_FTE,TAs_FTE,Staff_non_classroom,Pupil_Teacher_ratio,Mean_Gross_FTE_Sal
2235,0,919.0,4067.0,140294.0,0.0,ACC,Does not apply,OTHER NON SEL,MIXED,0.0,1.0,1.0,164.0,48.0,9.0,0.21,40.0,100.0,98.0,96.0,40.0,99.0,0.0,45.0,9.3,2.0,74.8,19.3,30.7,17.9,38725.0
2236,0,919.0,4083.0,137339.0,0.0,ACC,Does not apply,OTHER NON SEL,GIRLS,0.0,0.0,1.0,198.0,0.0,13.0,0.86,85.0,100.0,100.0,93.0,88.0,100.0,6.0,33.0,8.6,1.0,73.3,9.9,33.1,17.0,39466.0
2237,0,919.0,4087.0,117525.0,1.0,FD,Does not apply,OTHER NON SEL,MIXED,0.0,0.0,1.0,97.0,58.0,28.0,-0.73,23.0,97.0,95.0,81.0,26.0,96.0,0.0,16.0,7.8,5.0,43.0,16.7,23.3,14.1,39567.0
2238,0,919.0,4096.0,139036.0,0.0,ACC,Does not apply,OTHER NON SEL,MIXED,0.0,0.0,1.0,174.0,49.0,20.0,-0.17,26.0,99.0,99.0,74.0,41.0,100.0,1.0,10.0,8.9,3.0,67.6,9.3,21.2,15.8,41487.0
2239,0,919.0,4099.0,137757.0,0.0,ACC,Does not apply,OTHER NON SEL,GIRLS,0.0,0.0,1.0,116.0,0.0,22.0,0.42,72.0,99.0,99.0,84.0,78.0,99.0,15.0,45.0,9.2,2.0,49.0,8.5,18.5,17.0,39433.0
2240,0,919.0,4101.0,136396.0,0.0,ACC,None,OTHER NON SEL,MIXED,0.0,0.0,1.0,199.0,55.0,14.0,0.27,81.0,100.0,99.0,96.0,83.0,100.0,10.0,34.0,9.5,2.0,77.7,10.8,28.4,16.3,44031.0
2241,0,919.0,4104.0,117530.0,0.0,FD,Does not apply,OTHER NON SEL,MIXED,0.0,0.0,1.0,230.0,52.0,16.0,-0.21,23.0,99.0,99.0,72.0,41.0,99.0,2.0,27.0,8.8,4.0,83.7,8.4,31.5,17.8,41266.0
2242,0,919.0,4116.0,117534.0,0.0,CY,Does not apply,OTHER NON SEL,MIXED,0.0,0.0,1.0,128.0,48.0,32.0,0.21,23.0,100.0,99.0,75.0,45.0,100.0,2.0,17.0,8.0,3.0,75.1,15.8,36.9,17.4,40385.0
2243,0,919.0,4117.0,138484.0,0.0,ACC,Does not apply,OTHER NON SEL,MIXED,0.0,0.0,1.0,56.0,48.0,30.0,-0.25,55.0,100.0,100.0,96.0,55.0,100.0,4.0,14.0,8.4,3.0,32.4,7.4,12.5,11.6,42129.0
2244,0,919.0,4118.0,138632.0,0.0,ACC,None,OTHER NON SEL,MIXED,0.0,0.0,1.0,216.0,51.0,17.0,0.2,36.0,100.0,98.0,81.0,46.0,100.0,3.0,53.0,9.8,2.0,80.1,15.1,27.4,16.5,41098.0
