LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
882,2092,143335,28,37,6,26.0,22.1,5.9,20.5,"£36,113"
882,2093,143340,21,35,16,21.0,23.9,13.3,23.5,"£35,116"
882,2094,143333,17,12,9,11.9,8.1,6.5,21.4,"£36,500"
882,2096,114774,33,42,7,27.6,24.5,4.0,22.8,38171
882,2104,143338,NA,NA,NA,NA,NA,NA,NA,NA
882,2105,143341,NA,NA,NA,NA,NA,NA,NA,NA
882,2108,142753,29,15,6,20.3,9.6,5.6,25.3,"£38,343"
882,2109,114780,18,14,5,15.8,8.9,3.2,22.7,"£35,903"
882,2123,144877,17,16,5,12.1,8.4,2.7,22.0,"£36,321"
882,2124,114787,15,14,12,13.4,9.4,4.8,19.9,"£36,029"
882,2126,114789,24,40,26,19.9,9.2,9.0,20.9,"£36,239"
882,2127,140536,46,26,22,42.4,17.5,12.7,16.3,"£31,543"
882,2128,143339,9,7,16,7.2,5.6,5.0,25.5,"£38,599"
882,2132,114793,44,81,17,40.3,52.9,13.9,20.2,"£37,826"
882,2387,143337,35,34,40,30.9,21.9,24.9,19.6,"£36,747"
882,2407,114841,31,31,7,22.3,14.7,6.5,19.4,"£36,249"
882,3325,115145,33,30,7,30.3,21.1,5.4,19.6,"£36,564"
882,3326,115146,19,18,5,16.9,13.0,3.9,19.2,"£34,447"
882,3327,115147,19,25,4,14.4,12.6,2.8,20.4,"£35,259"
882,3328,115148,22,14,4,18.4,8.2,3.8,22.8,"£37,056"
882,3329,115149,14,12,5,10.6,7.3,3.6,19.7,"£36,616"
882,3822,143966,45,19,12,39.7,14.6,9.5,15.5,"£32,763"
882,3823,144878,24,22,9,19.6,12.5,6.9,22.3,"£39,166"
882,3824,143334,28,25,7,22.4,20.2,6.1,19.1,"£36,895"
882,3825,134860,23,23,12,20.4,16.9,8.2,20.6,"£35,780"
882,3826,134861,20,16,5,18.2,10.1,4.2,22.2,"£37,369"
882,4000,141741,85,8,31,79.9,7.9,29.7,13.5,"£38,530"
882,4001,142077,70,25,29,68.2,22.8,27.6,13.7,"£41,160"
882,4034,137733,136,33,44,124.2,24.1,37.0,13.5,"£39,183"
882,4736,132762,36,13,25,35.4,10.5,20.8,13.3,"£38,602"
882,5225,143336,34,37,13,29.7,28.0,9.7,18.1,"£34,738"
882,5273,115313,38,43,19,34.1,33.7,17.6,18.9,"£36,915"
882,5401,136272,85,14,22,69.4,9.8,18.5,16.7,"£35,610"
882,5414,137284,49,7,17,46.0,5.9,12.7,20.1,"£45,285"
882,5423,136490,64,1,33,58.7,1.0,24.5,20.9,"£40,094"
882,5428,136444,79,1,41,71.3,0.5,27.9,15.8,"£39,619"
882,5434,138174,91,29,41,86.0,23.8,35.8,15.1,"£39,149"
882,5446,136443,73,11,35,67.7,8.0,28.2,18.3,"£40,546"
882,5447,137310,59,14,24,54.6,10.8,21.7,18.5,"£38,834"
882,5465,137312,61,11,20,53.5,7.8,18.8,15.9,"£38,609"
883,2000,138048,34,41,10,31.9,32.4,8.3,19.8,"£34,341"
883,2001,138581,38,68,17,36.4,42.2,8.6,20.0,"£37,899"
883,2002,139380,21,26,6,20.2,20.9,6.0,27.7,"£37,951"
883,2003,139382,10,11,8,9.2,7.3,6.0,22.3,"£40,840"
883,2004,139566,19,6,30,16.6,4.8,24.0,24.6,"£38,938"
883,2005,139576,26,22,13,25.0,19.1,11.8,21.7,"£34,713"
883,2006,140013,25,31,8,22.0,20.7,6.8,22.2,"£36,676"
883,2007,140832,20,18,8,20.0,14.9,6.6,20.7,"£36,292"
883,2008,140938,18,13,6,17.6,12.3,4.5,25.7,"£40,357"
883,2009,141877,33,46,12,30.3,33.6,9.6,23.5,"£33,657"
883,2011,143149,13,14,3,12.1,9.7,2.5,17.1,"£35,732"
883,2013,144603,6,7,2,4.8,4.4,1.6,14.7,"£32,047"
883,2024,138334,3,4,0,3.0,4.0,0.0,SUPP,SUPP
883,2078,131226,23,35,13,21.6,25.7,9.7,20.4,"£38,476"
883,2137,139613,20,39,8,18.9,21.8,4.1,24.9,"£36,712"
883,2382,114836,25,28,6,24.2,20.1,5.4,19.0,"£34,201"
